,User,Date,Tweet,Tweets Ago,Compound,Negative,Neutral,Positive
112,@BBCNews,Fri Sep 21 10:50:37 +0000 2018,"RT @BBCSport: Pressure, frustration and everything on the line for Anthony Joshua.

@Mike Costello and @bigdaddybunce on ""the chance to bec…",113,-0.5106,0.711,0.209,0.079
113,@BBCNews,Fri Sep 21 10:48:18 +0000 2018,RT @BBCkatyaadler: EU politicians tell me every negotiation has tough moments. That this one post-Salzburg summit will not be the last. #Br…,114,-0.128,0.933,0.067,0.0
114,@BBCNews,Fri Sep 21 10:38:02 +0000 2018,NHS to save 'hundreds of millions' in landmark drug ruling https://t.co/ypv3badtha,115,0.5423,0.667,0.0,0.333
115,@BBCNews,Fri Sep 21 10:30:50 +0000 2018,Brexit: What's behind Donald Tusk's Instagram diplomacy? https://t.co/WyUyjKC6dC,116,0.0,1.0,0.0,0.0
116,@BBCNews,Fri Sep 21 10:28:13 +0000 2018,"Hunter and Aurora join top 100 baby names

https://t.co/W0q41t7cZd https://t.co/vnGFEUX97z",117,0.4588,0.667,0.0,0.333
117,@BBCNews,Fri Sep 21 10:15:45 +0000 2018,RT @BBCNewsPR: WATCH: Today #politicslive will be taken over by #Brexitcast for #BrexitcastLive marking 6 months to go until the UK leaves…,118,0.0,1.0,0.0,0.0
118,@BBCNews,Fri Sep 21 10:14:24 +0000 2018,"Sir Elton John accepts libel damages over dog injury story 

https://t.co/TCCn7I5sFM",119,-0.5267,0.5,0.356,0.144
119,@BBCNews,Fri Sep 21 09:41:49 +0000 2018,"RT @bbcweather: Here's our weekend set up. England and Wales likely to be wet at times after a bright start, and there's the potential for…",120,0.4404,0.888,0.0,0.112
120,@BBCNews,Fri Sep 21 09:14:39 +0000 2018,Reality Check: Holyhead's Brexit dilemma https://t.co/l6MkUSlvtp,121,-0.1779,0.746,0.254,0.0
121,@BBCNews,Fri Sep 21 09:13:25 +0000 2018,"RT @BBCSport: Record goalscorer⚽
Three Premier League titles🏆
300th appearance this weekend🏅
Contract extension✅

Sergio Aguero, Man City's…",122,0.0,1.0,0.0,0.0
122,@BBCNews,Fri Sep 21 09:00:20 +0000 2018,RT @BBCNewsbeat: He lives in Northern Ireland. She lives in the Republic of Ireland. How would a hard border change their relationship? 🇬🇧💞…,123,-0.1027,0.938,0.062,0.0
123,@BBCNews,Fri Sep 21 08:59:56 +0000 2018,"RT @BBCNewsbeat: Ray BLK says she was told to be a songwriter, not a singer, because she's a black woman
Read more: https://t.co/3ZOkm3T33I…",124,0.0,1.0,0.0,0.0
124,@BBCNews,Fri Sep 21 08:57:00 +0000 2018,Anjem Choudary: Security concerns over radical preacher release https://t.co/f0u0iiDGGj,125,0.34,0.769,0.0,0.231
125,@BBCNews,Fri Sep 21 08:16:56 +0000 2018,"""A tremendous labour of love""

Meghan Markle celebrates Grenfell cookbook launch

https://t.co/TZ9jc6IhiV https://t.co/UVWrU5FxFM",126,0.836,0.582,0.0,0.418
126,@BBCNews,Fri Sep 21 07:43:07 +0000 2018,"Lake Victoria, Tanzania: Dozens drown in ferry capsize https://t.co/M8G88PiKN4",127,-0.5719,0.684,0.316,0.0
127,@BBCNews,Fri Sep 21 06:58:30 +0000 2018,Australian strawberries: Why would someone hide a needle in fruit? https://t.co/Gh3jEiAu47,128,-0.1779,0.841,0.159,0.0
